subject_id,pace,file_path
1,Fast,..\..\Data\Subj1\Alexis_Fast_EPOCX_218750_2024.05.20T15.14.17+07.00.edf
1,Slow,..\..\Data\Subj1\Alexis_Slow_EPOCX_218750_2024.05.13T13.51.48+07.00.edf
10,Fast,..\..\Data\Subj10\Livy_Fast_EPOCX_218750_2024.05.22T15.14.00+07.00.edf
10,Slow,..\..\Data\Subj10\Livy_Slow_EPOCX_218750_2024.05.16T12.01.27+07.00.edf
11,Fast,..\..\Data\Subj11\Nicole_Fast_EPOCX_218750_2024.05.15T12.15.16+07.00.edf
11,Slow,..\..\Data\Subj11\Nicole_Slow_EPOCX_218750_2024.05.20T11.20.47+07.00.edf
12,Fast,..\..\Data\Subj12\Ryan_Fast_EPOCX_218750_2024.05.20T16.03.17+07.00.edf
12,Slow,..\..\Data\Subj12\Ryan_Slow_EPOCX_218750_2024.05.13T17.27.48+07.00.edf
13,Fast,..\..\Data\Subj13\Sanni_Fast_EPOCX_218750_2024.05.22T13.12.31+07.00.edf
13,Slow,..\..\Data\Subj13\Sanni_Slow_EPOCX_218750_2024.05.15T14.29.45+07.00.edf
14,Fast,..\..\Data\Subj14\Sherryn_Fast_EPOCX_218750_2024.05.20T12.36.50+07.00.edf
14,Slow,..\..\Data\Subj14\Sherryn_Slow_EPOCX_218750_2024.05.13T15.14.14+07.00.edf
15,Fast,..\..\Data\Subj15\Vincent_Fast_EPOCX_218750_2024.05.22T11.19.45+07.00.edf
15,Slow,..\..\Data\Subj15\Vincent_Slow_EPOCX_218750_2024.05.15T11.47.51+07.00.edf
16,Fast,..\..\Data\Subj16\Yudi_Fast_EPOCX_218750_2024.05.15T13.19.26+07.00.edf
16,Slow,..\..\Data\Subj16\Yudi_Slow_EPOCX_218750_2024.05.20T13.09.03+07.00.edf
2,Fast,..\..\Data\Subj2\Andrea_Fast_EPOCX_218750_2024.05.14T15.29.13+07.00.edf
2,Slow,..\..\Data\Subj2\Andrea_Slow_EPOCX_218750_2024.05.20T11.45.39+07.00.edf
3,Fast,..\..\Data\Subj3\Bennett_Fast_EPOCX_218750_2024.05.13T14.24.51+07.00.edf
3,Slow,..\..\Data\Subj3\Bennett_Slow_EPOCX_218750_2024.05.20T15.37.12+07.00.edf
4,Fast,..\..\Data\Subj4\Cecil_Fast_EPOCX_218750_2024.05.20T10.51.54+07.00.edf
4,Slow,..\..\Data\Subj4\Cecil_Slow_EPOCX_218750_2024.05.15T13.53.05+07.00.edf
5,Fast,..\..\Data\Subj5\Edbert_Fast_EPOCX_218750_2024.05.27T15.17.06+07.00.edf
5,Slow,..\..\Data\Subj5\Edbert_Slow_EPOCX_218750_2024.05.14T14.27.08+07.00.edf
6,Fast,..\..\Data\Subj6\Essley_Fast_EPOCX_218750_2024.05.15T09.38.59+07.00.edf
6,Slow,..\..\Data\Subj6\Essley_Slow_EPOCX_218750_2024.05.27T10.32.20+07.00.edf
7,Fast,..\..\Data\Subj7\Joliem_Fast_EPOCX_218750_2024.05.21T13.18.33+07.00.edf
7,Slow,..\..\Data\Subj7\Joliem_Slow_EPOCX_218750_2024.05.14T13.23.47+07.00.edf
8,Fast,..\..\Data\Subj8\Justin_Fast_EPOCX_218750_2024.05.14T14.53.54+07.00.edf
8,Slow,..\..\Data\Subj8\Justin_Slow_EPOCX_218750_2024.05.21T13.45.19+07.00.edf
9,Fast,..\..\Data\Subj9\Leo_Fast_EPOCX_218750_2024.05.13T16.48.25+07.00.edf
9,Slow,..\..\Data\Subj9\Leo_Slow_EPOCX_218750_2024.05.20T16.24.55+07.00.edf
